Nbr,Player,Wiki,Years-Played,DOB,Place-of-Birth,Played-For
1,Kareem Abdul-Jabaar, https://en.wikipedia.org/wiki/Kareem_Abdul-Jabbar,20,"April 16, 1947","New York, New York",Milwaukee Bucks and Los Angeles Lakers
2,Ray Allen, https://en.wikipedia.org/wiki/Ray_Allen,18,"July 20, 1975","Merced, California","Milwaukee Bucks, Seattle Supersonics (Currently Oklahoma City Thunder), Boston Celtics and Miami Heat"
3,Charles Barkley, https://en.wikipedia.org/wiki/Charles_Barkley,16,"February 20, 1963","Leeds, Alabama","Philadelphia 76ers, Phoenix Suns and Houston Rockets "
4,Elgin Baylor, https://en.wikipedia.org/wiki/Elgin_Baylor,13,"September 16,1934","Washington, D.C.",Los Angeles Lakers
5,Larry Bird, https://en.wikipedia.org/wiki/Larry_Bird,13,"December 7,1956","West Baden Springs, Indiana",Boston Celtics
6,Kobe Bryant ,https://en.wikipedia.org/wiki/Kobe_Bryant,20,"August 23,1978","Philadelphia, Pennsylvania",Los Angeles Lakers
7,Vince Carter, https://en.wikipedia.org/wiki/Vince_Carter,20,"January 26, 1977","Daytona Beach, Florida","Toronto Raptors, New Jersey Nets, Orlando Magic, Phoenix Suns, Dallas Mavericks, Memphis Grizzlies, and  Atlanta Hawks"
8,Wilt Chamberlain, https://en.wikipedia.org/wiki/Wilt_Chamberlain,14,"August 21,1936","Philadelphia, Pennsylvania","Golden State Warriors, Philadelphia 76ers and Los Angeles Lakers "
9,Bob Cousy, https://en.wikipedia.org/wiki/Bob_Cousy,14,"August 9,1928","New York, New York",Boston Celtics and Cincinnati Royals (Currently known as the Sacramento Kings) and the Boston Celtics
10,Stephen Curry, https://en.wikipedia.org/wiki/Stephen_Curry,10,"March 14,1988","Akron, Ohio",Golden State Warriors
11,Anthony Davis, https://en.wikipedia.org/wiki/Anthony_Davis,7,"March 11,1993","Chicago, Illinois",New Orleans Pelicans
12,Clyde Drexler, https://en.wikipedia.org/wiki/Clyde_Drexler,15,"June 22,1962","New Orleans, Louisiana",Portland Trailblazers and the Houston Rockets
13,Tim Duncan ,https://en.wikipedia.org/wiki/Tim_Duncan,19,"April 25,1976","Saint Croix, U.S. Virgin Islands",San Antonio Spurs
14,Kevin Durant, https://en.wikipedia.org/wiki/Kevin_Durant,11,"September 29, 1988","Washington, D.C.",Oklahoma City Thunder and the Golden State Warriors
15,Julius Erving, https://en.wikipedia.org/wiki/Julius_Erving,16,"February 22,1950","East Meadow, New York",Philadelphia 76ers
16,Patrick Ewing, https://en.wikipedia.org/wiki/Patrick_Ewing,17,"August 5, 1962","Kingston, Jamaica","New York Knicks ,Seattle Supersonics (Currently Oklahoma City Thunder) and the Orlando Magic"
17,Walt Frazier, https://en.wikipedia.org/wiki/Walt_Frazier,13,"March 29, 1945","Atlanta, Georgia",New York Knicks and the Cleveland Cavaliers
18,Kevin Garnett, https://en.wikipedia.org/wiki/Kevin_Garnett,20,"May 19,1976","Greenville, South Carolina","Minnesota Timberwolves, Boston Celtics and the Brooklyn Nets"
